location,company,title,salary,city,company_id,index
"Redmond, WA 98052 (SE Redmond area)",User Research International,Market Research Analyst,"$60,000 - $70,000 a year",Redmond,360,439
"Redmond, WA",Highbrow LLC,Data Analyst,Unknown,Redmond,363,442
"Redmond, WA",Highbrow LLC,Data Analyst – SQL / Big Data,Unknown,Redmond,363,444
"Redmond, WA",Highbrow LLC,SQL Developer / Data Analyst,Unknown,Redmond,363,447
 Los Angeles,DigniFi,Director of Business Intelligence and Analytics,Unknown, Los Angeles,369,454
"Redmond, WA 98052",Zen3 Info Solutions,SEO/ Data analyst,Unknown,Redmond,371,456
"Redmond, WA",Neal Analytics,IT Helpdesk Analyst,$25 an hour,Redmond,372,458
 Los Angeles,IEH Laboratories,"Laboratory Analyst - 12hr Rotating Night Shift (Cashmere, WA)",Unknown, Los Angeles,377,465
"Redmond, WA 98052",Course5 Intelligence,Market Research Data Analyst,Unknown,Redmond,18,469
"Redmond, WA",BiSoft,Systems Data Analyst,"$85,000 a year",Redmond,381,471
 Los Angeles,T-Mobile,Sr Business Analysis Manager,Unknown, Los Angeles,385,476
"Redmond, WA 98052 (Rose Hill area)",Aerojet Rocketdyne,Data Reduction Analyst,Unknown,Redmond,387,478
"Redmond, WA",BiSoft,Business Analyst,"$90,000 a year",Redmond,381,481
"Redmond, WA 98052 (SE Redmond area)",Pushpay,Business Analyst,Unknown,Redmond,391,484
 Los Angeles,Native American Rehabilitation Association (NARA),Billing Data Analyst,Unknown, Los Angeles,394,487
 Los Angeles,OIA Global,HCMS Business Systems Analyst,Unknown, Los Angeles,416,513
 Los Angeles,Portland Public Schools,Senior Finance Systems Analyst,"$81,620 - $97,459 a year", Los Angeles,417,514
 Los Angeles,OmniData Insights,Data Engineer,Unknown, Los Angeles,419,516
 Los Angeles,Atlas Management,Development Analyst,"$45,000 - $50,000 a year", Los Angeles,420,517
 Los Angeles,The Standard,Disability Benefits Analyst,Unknown, Los Angeles,421,518
 Los Angeles,BICP,Sr. Data Engineer,"$120,000 - $140,000 a year", Los Angeles,429,529
 Los Angeles,ShopLadder.com,Strategic Data Analyst - E-Commerce - Excel Guru a must,Unknown, Los Angeles,447,560
 Los Angeles,"Palm Beach Accountable Care Organization, LLC",Healthcare Data Analyst (Accountable Care Organization),Unknown, Los Angeles,448,561
 Los Angeles,IBERIA FOODS,Strategic Business Analyst -1,Unknown, Los Angeles,449,562
 Los Angeles,ImmigrationEngine,Senior Digital Marketing Analyst,"$42,000 - $57,000 a year", Los Angeles,458,573
 Los Angeles,HCW Biologics Inc.,Quality Control Analyst,Unknown, Los Angeles,468,584
 Los Angeles,Citi,Global Investigations Unit Compl AML Intel Sr Analyst,Unknown, Los Angeles,141,585
 Los Angeles,Therapies 4 Kids,Board Certified Assistant Behavior Analyst,"$45,000 - $60,000 a year", Los Angeles,501,620
 Los Angeles,The Learning Center at The Els Center of Excellence,Board Certified Behavior Analyst,Unknown, Los Angeles,502,621
 Los Angeles,California FAIR Plan Association,Statistical Analyst,Unknown, Los Angeles,523,645
 Los Angeles,UnionBank,"Data Insights Analyst, Assistant Vice President",Unknown, Los Angeles,524,646
 Los Angeles,Confidental Company,Consultant II (Business Intelligence Analyst),Unknown, Los Angeles,525,647
"Newport Beach, CA",Lyceum Dynamics,Data Analyst,$40 - $50 an hour,Newport Beach,530,652
 Los Angeles,Impactful Resources,Senior Business Analyst,Unknown, Los Angeles,536,658
 Los Angeles,"Beckman Coulter, Inc.",Analyst II-Materials and Planning,Unknown, Los Angeles,546,669
 Los Angeles,TRENCH PLATE RENTAL CO,Inofor Business Analyst,Unknown, Los Angeles,547,670
 Los Angeles,Uline,Business Analyst,Unknown, Los Angeles,564,689
"Newport Beach, CA",Osborne Homes,Data (Fp&a) Analyst,"$80,000 - $100,000 a year",Newport Beach,570,696
 Los Angeles,"Dot818, LLC",Data & Analytics Services Sales Manager,Unknown, Los Angeles,573,700
 Los Angeles,Lanic Aerospace,Cost Analyst,$28 - $34 an hour, Los Angeles,574,701
"Newport Beach, CA 92660","Harvey & Company, LLC",Junior Analyst,$17 an hour,Newport Beach,580,707
