,Federated Hermes,IMO Senior Data Analyst,
,i-Pharm Consulting,"Sr. Statistical Programmer - (100% REMOTE) - Excellent Pay, Benefits, PTO!",
"Coraopolis, PA 15108",DICK'S Sporting Goods,Data Scientist,3.5
"Pittsburgh, PA 15207 (Hays area)","Dagostino Electronic Services, Inc.",Chief Data Scientist,
"Kent, OH 44240",Davey Tree,"Data Scientist - Kent, OH",3.6
"Pittsburgh, PA 15206 (East Liberty area)","YinzCam, Inc.",Senior Data Analyst,4.0
"Cranberry Township, PA 16066",Westinghouse Electric Company,Data Scientist- Contract Opportunity,3.4
"Pittsburgh, PA 15219 (Middle Hill area)",UPMC,Sr. Data Scientist - Health Economics,3.7
"Pittsburgh, PA",The University of Pittsburgh,Data Scientist,4.2
"Cork, PA",PepsiCo,eCommerce Senior Data Scientist,3.8
"Pittsburgh, PA 15222 (Strip District area)",Bosch Group,Machine Learning Research Scientist,4.1
"Pittsburgh, PA",International Services Management,Data Scientist,
,"Perceptronics Solutions, Inc",AI/Machine Learning Research Scientist,
,Leidos,Chief Data Scientist,3.7
,Areté,"Scientist 2, Data Analytics",4.0
,Northrop Grumman,Principal Data Scientist,4.0
,Vertex Pharmaceuticals,"Research Scientist, Structural Biologist - CryoEM Data Analyst",3.6
"Los Angeles, CA",Beatdapp,Data Scientist (Top 20 Music Company Globally on Crunchbase),
"Los Angeles, CA",Aspiration Partners,Data Scientist,
"Santa Monica, CA 90404 (Mid-City area)",Hulu,Data Scientist,3.9
"Los Angeles, CA",Facebook,"Data Scientist, Product Analytics AR/VR",4.2
"Los Angeles, CA",BIGO Technology Pte. Ltd.,Data Specialist,
"Irvine, CA 92618",MWIDM Inc.,Data Scientist,
"Calabasas, CA 91302",Anchor Loans LP,Data Scientist,
"Irvine, CA 92617 (Research Park area)",West Coast University,Data Scientist,3.7
"Irvine, CA 92617 (Research Park area)",American Career College,Data Scientist,3.9
"Los Angeles, CA",Opendoor,Staff Data Scientist - Consumer,3.0
,IT LINK,Natural language Processing Engineer(NLP)/ Data Scientist (100 %-Remote),
,California FAIR Plan Association,Statistical Analyst,
,Numerator,Senior Data Analyst,3.6
,Kelly,"Urgent Need - Associate Data Scientist - Chicago, IL",3.8
,PeopleReady,Machine Learning Engineer,3.6
"Chicago, IL",Cloudbigdata Technologies,Entry level Data Scientist,
"Chicago, IL 60606 (West Loop Gate area)",Farm Journal,Data Scientist,3.1
"Chicago, IL 60606 (The Loop area)",Strike Social,Data Scientist (Entry Level),3.7
"Chicago, IL","Hornblower Cruises and Events, LLC",Data Scientist - Cruises & Events,3.6
"Chicago, IL",Beatdapp,Data Scientist (Top 20 Music Company Globally on Crunchbase),
"Chicago, IL 60654 (Loop area)",Thrivent Financial,Data Scientist (remote),3.9
"Chicago, IL 60601 (The Loop area)",Hale Testing Solutions,Machine Learning/Data Scientist,
"Chicago, IL",kraken,Data Scientist (Remote),3.9
"Chicago, IL 60661 (West Loop Gate area)",Wavicle Data,Data Scientist,3.3
"Chicago, IL 60606 (The Loop area)",MessageControl,Data Scientist,
,Kelly,"Data Scientist - Chicago, IL",3.8
,"IT Partners,Inc",Data Scientist,
,Apple,"AI/ML - Machine Learning Engineer, Machine Intelligence",4.2
,PNNL,Data Scientist in Artificial Intelligence - Intermediate,4.1
,Nestle USA,Statistical Modeling & Forecasting Scientist,3.7
,Liberty Mutual Insurance,"Director II, Data Science",3.6
"Seattle, WA",Beatdapp,Data Scientist (Top 20 Music Company Globally on Crunchbase),
"Redmond, WA",Microsoft,Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences,4.2
"Olympia, WA",Pearson,Data Scientist,3.8
"Seattle, WA 98101 (Downtown area)",Hiya,Data Scientist,
"Seattle, WA 98119 (Queen Anne area)",Expedia.com,Data Scientist II,3.9
"Redmond, WA",Sunera Technologies,Data Scientist,3.8
"Seattle, WA",Linksbridge,Data Scientist,
"Seattle, WA",Amazon.com Services LLC,Data Scientist,3.6
"Seattle, WA 98109 (Westlake area)",Pacific Northwest National Laboratory,"Data Scientist - Statistics, Early Career",4.1
"Seattle, WA",Wish,Data Scientist,3.8
,Pacific Northwest National Laboratory,"Data Scientist - Statistics, Early Career",4.1
,JND,Senior Data Analyst,
,HP,Data Scientist (Sales and Marketing),4.0
,Pilot Flying J,Data Scientist,3.3
"Houston, TX",Pilot Flying J,Data Scientist,3.3
"Houston, TX",National Oilwell Varco,Data Scientist,3.9
"Spring, TX 77389",HP,Data Scientist (Sales and Marketing),4.0
"Houston, TX",vedainfo,Data Scientist,
"Houston, TX",SelectMinds,Data Scientist,
"Houston, TX 77019 (Neartown - Montrose area)",BDO,Software Developer Intern (Data Analytics Team) - Fall 2020,3.7
"Houston, TX 77084",Aramco Services Company,Data Scientist (501652),3.9
"Houston, TX 77077",Techwave Consulting Inc.,Data Scientist,
