location,company,title,salary
"Seattle, WA 98109 (Westlake area)",Pacific Northwest National Laboratory,"Data Scientist - Statistics, Mid-Career",
"Bellevue, WA 98004 (Downtown area)",System1,"Sr. Data Analyst, Consumer Applications",
"Seattle, WA 98109 (South Lake Union area)",Allen Institute,Scientist I – Neural Data Analysis,
"Seattle, WA 98109 (South Lake Union area)",Allen Institute,Data Analyst I/II - Brain Science,
"Seattle, WA",City of Seattle,Policy and Statistical Analyst,"$85,629 - $128,433 a year"
"Redmond, WA",Microsoft,SR. Data & Applied Scientist,
"Seattle, WA",Nestle USA,Statistical Modeling & Forecasting Scientist,
"Seattle, WA 98104 (Downtown area)",The Climate Corporation,Lead Data Scientist - Deep Learning,
"Seattle, WA 98121 (Denny Triangle area)",Convoy,Senior Data Scientist - Operations,
"Seattle, WA",Oracle,CMTS Applied ML/ Data Scientist (JoinOCI),
,Québec Immigration Office,Senior Machine Learning Developer (visa sponsorship for Canada),$55 - $67 an hour
"Seattle, WA",Amazon.com Services LLC,Data Scientist - Sustainable Packaging,
"Kirkland, WA",Docugami,Machine Learning / Data Scientist,
"Seattle, WA",Salesforce,Senior Data Scientist,
"Seattle, WA",University of Washington,IMPLEMENTATION SCIENCE DATA ANALYST,
"Redmond, WA",Microsoft,Senior Data Scientist,
"Seattle, WA 98121 (Belltown area)",Saykara,NLP / Machine Learning Engineers,
"Redmond, WA",Microsoft,Applied Scientist,
"Seattle, WA",Amazon.com Services LLC,"Data Scientist, AWS Specialized Sales",
"Kirkland, WA 98033 (Lake View area)",ServiceNow,Staff Data Scientist,
"Seattle, WA 98103 (Fremont area)",bluebird bio,Data Scientist / Computational Biologist,
"Bothell, WA 98011 (North Creek area)",Puget Sound Energy,Associate Data Scientist,
"Seattle, WA 98109 (Westlake area)",Pacific Northwest National Laboratory,Data Scientist in Artificial Intelligence - Intermediate,
"Redmond, WA",Microsoft,Content Developer - Data & AI,
"Seattle, WA",Tinuiti - 2,"Intern, Marketplace Analytics",
"Bellevue, WA 98004 (Downtown area)",System1,"Sr. Data Analyst, Ad Operations",
"Seattle, WA 98104 (Pioneer Square area)",Pioneer Square Labs,Senior Data Scientist,
"Seattle, WA",Amazon.com Services LLC,"Data Scientist, Alexa AI",
"Seattle, WA",Amazon.com Services LLC,Applied Scientist - Alexa Education,
"Seattle, WA",Amazon.com Services LLC,Data Scientist - WW Operations HR,
"Seattle, WA",Amazon.com Services LLC,Decision Scientist-Devices,
,Talent Acquisition Québec,AI Full Stack Developer at IBM (Visa Sponsorship for Canada),
"Seattle, WA","Amazon Dev Center U.S., Inc.",Applied Scientist,
"Seattle, WA 98101 (Downtown area)",Liberty Mutual Insurance,"Director II, Data Science","$153,300 - $201,600 a year"
"Seattle, WA",Apple,Applied Machine Learning Researcher,
"Seattle, WA",Frontend Arts,Machine Learning Developer,
"Seattle, WA",Snapchat,"Software Engineer, Machine Learning",
"Kirkland, WA 98033 (Lake View area)",Wyze Labs,Applied Scientist (Computer Vision),
"Seattle, WA 98103 (Wallingford area)",Outreach,"Senior Applied Scientist, Conversational Intelligence",
"Kirkland, WA 98033 (Lake View area)",Wyze Labs,Research/Applied Scientist Intern,
"Seattle, WA 98103 (Wallingford area)",Outreach,"Principal Applied Scientist, Conversational Intelligence",
"Seattle, WA",SpaceCurve,Principal Data Scientist,
"Redmond, WA",Facebook,"Research Scientist, Machine Learning (PhD)",
"Seattle, WA 98122 (Central District area)",Johns Hopkins University,Sr. Research Data Analyst,"$52,495 - $72,210 a year"
"Seattle, WA 98109 (South Lake Union area)",LivePerson,Sr. Data Scientist -Natural Language Processing,
"Seattle, WA",Amazon.com Services LLC,Sr. Business/Data Analyst,
"Seattle, WA",Amazon.com Services LLC,Sr Applied Scientist,
"Seattle, WA 98104 (International District area)","Paula's Choice, LLC","SENIOR DATA ANALYST, SUPPLY CHAIN",
"Seattle, WA",Capgemini,Windows 10 Migration Engineer/ Data Engineer L1,
"Seattle, WA 98121 (Denny Triangle area)",Convoy,Senior Data Scientist - Demand,
"Redmond, WA 98052",Inabia Solutions and Consulting,Program Manager/ Data Scientist,
"Seattle, WA 98109 (Westlake area)",Pacific Northwest National Laboratory,Masters Intern - National Security Masters Intern â€“ Computing and Analytics (NSIP),
"Seattle, WA 98109 (Westlake area)",Pacific Northwest National Laboratory,Tech Student - National Security Undergraduate Intern â€“ Computing and Analytics (NSIP),
"Redmond, WA",Microsoft,Principal Data & Applied Scientist,
"Seattle, WA",Amazon.com Services LLC,"Business Intelligence Engineer, Alexa",
"Seattle, WA",Oracle,Principal ML(Speech) Data Scientist (JoinOCI),
"Seattle, WA 98109 (South Lake Union area)",Allen Institute,Scientist - Machine Learning,
,The American College of Radiology,Clinical Data Manager,
"Philadelphia, PA 19146 (Graduate Hospital area)",Children's Hospital of Philadelphia,Data Scientist I,
"Philadelphia, PA 19103",Boxplot,Data Scientist,"$30,000 a year"
"Philadelphia, PA 19146 (Graduate Hospital area)",Children's Hospital of Philadelphia,Data Scientist II - Cell & Gene Therapy,
"Philadelphia, PA 19146 (Graduate Hospital area)",Children's Hospital of Philadelphia,Imaging Data Scientist I,
"Camden, NJ 08103 (Central Waterfront area)",United States Cold Storage,Jr. Data Scientist,
"Philadelphia, PA 19019 (Somerton area)",Thermo Fisher Scientific,Data Scientist,
"Philadelphia, PA 19130 (Logan Square area)",Clarivate Analytics,Data Scientist,
"Philadelphia, PA",Invent Analytics,Junior Data Scientist,
"Wyncote, PA 19095","Foot Locker, Inc.",DATA SCIENTIST,
"Philadelphia, PA",Information Consulting Services of Delaware Valley,Data Engineer / Data Scientist,
,IQVIA,Associate Dir- Machine Learning,
"Princeton, NJ",Bloomberg,Data Scientist - Economics,
"New York, NY",American Express,"Manager, Data Scientist",
"Philadelphia, PA",Clutch,Data Scientist,
"New York, NY",Building Service 32 BJ Funds,Data Scientist,
,Wells Fargo,Sr. Data Scientist (Cap Mkts-Apps Sys Eng 3),
"Conshohocken, PA 19428",INTERDIGITAL COMM CORP,Data Scientist,
"Philadelphia, PA 19104 (University City area)",Choosito,Machine Learning/Natural Language Generation Scientist,
"New York, NY",Prospect 33,Data Science Intern,
"Wilmington, DE","Canopy One Solutions, Inc.",Data Scientist,$55 - $65 an hour
"Philadelphia, PA",goPuff,Data Analyst - Data Science,
"Philadelphia, PA 19103 (Logan Square area)",Comcast,Data Scientist,
"Philadelphia, PA","Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,
"New York, NY 10119 (Chelsea area)",Biz2Credit Inc,Data Scientist,
"New York, NY 10005 (Financial District area)",The Buttonwood Tree,Data Science Intern,
"Philadelphia, PA 19107 (Center City area)",Penn Interactive Ventures - Philadelphia,Senior Data Scientist,
"Philadelphia, PA",SAM Labs,Business Analyst Internship,
"Philadelphia, PA 19112",The GBS Group,Modeling and Simulation / MBSE Tools Data Scientist,
"Woodbridge, NJ 07095",Global Data Management Inc.,Jr Data Scientist,
"New York, NY",KKI Capital,Quantitative/Data Analyst Intern,
"Collegeville, PA 19426",GSK,Data Scientist,
"Philadelphia, PA 19112 (Navy Yard area)",Gryphon Technologies,Data Scientist Deputy,
,CSL Behring,Senior Statistical Programmer.,
"Newark, DE",DuPont,CMP R&D Data Scientist (Campus Hire),
"Malvern, PA",Vanguard,Data Scientist II,
"Trenton, NJ",ANB Sourcing LLC,Data Scientist (10+ yrs exp. required),$50 - $60 an hour
"New Brunswick, NJ",Johnson & Johnson Family of Companies,"Data Scientist, Data Sciences & Risk Management",
"Baltimore, MD 21218 (Midway-Coldstream area)",Association of Universities for Research in Astron...,Astronomical Data Scientist I - #0048665,
"New York, NY",eBay Inc.,"Data Scientist, Buyer Experience",
"Newtown Square, PA",SAP,"Intern, High Growth Data Analyst",
"Philadelphia, PA",University of Pennsylvania,Data Scientist,
"New Brunswick, NJ 08901",Bristol-Myers Squibb,"Associate Scientist, GxP, Sample & Data Management",
"Baltimore, MD 21218 (Johns Hopkins Homewood area)",Space Telescope Science Institute,Astronomical Data Scientist I,
"New York, NY 10019 (Midtown area)",Gallup,Data Scientist,
"Philadelphia, PA 19102 (City Center West area)","Data-Core System, Inc.","Data Science, Machine Learning & AI Consultant",
"Philadelphia, PA 19107 (City Center East area)","National Real Estate Development, LLC","Intern, Development Analyst",
"New York, NY",CLEAR - Corporate,Data Scientist,
"King of Prussia, PA 19406",CSL Behring,Data Scientist,
"Lancaster, PA",Eurofins USA BioPharma Services,Data Review Scientist,
"Philadelphia, PA 19106 (Old City area)",Federal Reserve Bank of Philadelphia,Internship- Information Technology- AI Algorithms with Application Code,
"New York, NY 10016 (Gramercy area)",Insider Inc,Data Scientist,
"New York, NY 10036 (Midtown area)",Spot.IM,"VP, Data Scientist",
"New York, NY 10003 (Flatiron District area)",Medidata Solutions,"Data Scientist/Engineer (SAS, R code, Python & Sql (Open to remote Workers))",
"West Chester, PA",HSN,Data Scientist,
"White Marsh, MD",Mariner Finance,Senior Data Scientist,
"Collegeville, PA 19426",GSK,"Scientist, Data, Methods and Analytics – Immuno-inflammation and Specialty Medicines",
"Broomfield, CO",Danone,"Customer Collaboration, Data Scientist",
"Denver, CO 80202 (Lodo area)",Evolve Vacation Rental,Sr. Data Scientist,
"Denver, CO 80202 (Union Station area)",McKinsey & Company,"Data Scientist, Agriculture and Commodities",
"Denver, CO",LogistiCare,Data Scientist- NLP,
"Denver, CO",VF Corporation,Senior Data Scientist,
"Denver, CO",Course5 Intelligence,Data Engineering and Data Science Resource,
"Boulder, CO",Viola AI,Data Scientist,
"Denver, CO 80238",Frontdoor,Data Scientist,
"Denver, CO 80202 (Union Station area)",AirDNA,Data Scientist,
"Denver, CO 80202 (Central Business District area)",Decentrix,DATA SCIENTIST,
,USAA,Decision Science Analyst II,
,SPECTRUM,Principal Data Scientist,
"Greenwood Village, CO 80111",Tri-County Health Department,"EPI & Data Science Professional, COVID-19 Response",
"Boulder, CO",Pearson,Senior Data Scientist,
"Colorado Springs, CO 80920 (Briargate area)",LinQuest Corporation,Data Scientist,"$100,000 a year"
"Boulder, CO",The Trade Desk,Senior Data Scientist,
"Denver, CO",GutCheck,Senior Data Scientist,
"Denver, CO 80237 (Hampden South area)","Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,
"Boulder County, CO","Boulder County, CO",Statistical Analyst,"$65,280 - $93,996 a year"
"Broomfield, CO 80021",ClientSolv Technologies,Data Scientist - W2 candidates,
"Boulder, CO 80301",LOCKHEED MARTIN CORPORATION,Research Scientist - Machine Learning,
"Denver, CO 80202 (Lodo area)",Comcast,"Eng 3, Machine Learning",
,SPECTRUM,Senior Data Scientist,
"Broomfield, CO 80021 (Interlocken area)",Oracle,Senior Data Scientist,
"Boulder, CO 80301",Ball Aerospace,Project Engineer II - Data Scientist,
"Broomfield, CO 80020",Vail Resorts,Director of Data Science,
"Denver, CO",ICR,Data Scientist,
"Aurora, CO 80010 (Delmar Parkway area)",CACI,Data Scientist/Researcher (up to 25% profit sharing benefit),
"Denver, CO 80202 (Central Business District area)",Ibotta,Senior Decision Scientist - Product,
"Evergreen, CO 80437",Ometrics,Natural Language Processing Specialist,
"Englewood, CO",Wipro Limited,Python for Data Science-Lead,
"Greeley, CO",JBS USA Food Company,SENIOR DATA SCIENTIST,
"Boulder, CO","Operating Company ACTIVISION PUBLISHING, INC",Lead Data Scientist,
,SPECTRUM,Principal Operations Scientist,
"Denver, CO",Twilio,"Senior BI Analyst, Analytics/Data Science",
"Lakewood, CO",SolSpec,Data Engineer,
"Broomfield, CO 80021 (Interlocken area)",Honeywell,Physicist/Mathematician - Honeywell Quantum Solutions,
"Cheyenne, WY 82001",WEST Inc,Statistician Technician,$18 - $22 an hour
"Denver, CO",Deloitte,Sales Executive - Data in Motion,
"Longmont, CO 80503",Seagate Technology,Image and Video Analytics - Data Scientist - Staff level,
"Golden, CO 80401",National Renewable Energy Laboratory,Postdoctoral Researcher – Machine Learning,
"Littleton, CO 80125",LOCKHEED MARTIN CORPORATION,AI/ML Software Engineer,
"Boulder, CO",NTT DATA Services,Speech Processing/ML Engineer,
"Schriever AFB, CO",Jacobs,Analysis and Data Handling Lead IRES - SAFB,
"Greenwood Village, CO 80111",Telligen,Senior Health Data Analyst (SAS),
"Boulder, CO 80301",Unsupervised,Machine Learning Algorithms Engineer,
"Denver, CO",Twilio,"Senior Data Analyst, Sales Compensation",
"Aurora, CO 80011 (Norfolk Glen area)",DeNOVO Solutions,AI/ML Junior Software Engineer,
"Boulder, CO 80301",E source,Machine Learning Engineer,
"Centennial, CO 80112",Arrow Electronics,Senior Data Analyst (Corporate Audit),
"Denver, CO 80202 (Central Business District area)",Ibotta,Manager of Machine Learning,
"Golden, CO 80401",National Renewable Energy Laboratory,Postdoctoral Researcher – Machine Learning for Combustion Science,
"Englewood, CO",Spectrum,Principal Data Scientist,
"Denver, CO",Deloitte,Sales Executive – Artificial Intelligence Managed Services,
"Cheyenne, WY 82007",Laramie County Community College,"Research Analyst, Institutional Research","$50,731 - $59,507 a year"
"Englewood, CO",Spectrum,Principal Operations Scientist,
"Boulder, CO 80301",Apple,Performance Engineer,
"Boulder, CO 80309 (Colorado University area)",University of Colorado Boulder,CIRES/ EARTH LAB Machine Learning Applications to Earth Observations of Natural Hazards Post-Doc,
"Aurora, CO 80011 (Norfolk Glen area)",DeNOVO Solutions,AI/ML Software Engineer,
"Denver, CO",Deloitte,Sales Executive - Conversational AI – Artificial Intelligence Insights & Engagement,
"Denver, CO",TuSimple,C++ Software Engineer - Autonomous Vehicle A.I. Benchmark & Performance (San Diego),
"Greenwood Village, CO 80111",BlackHorse Solutions Inc,Digital Signal Processing (DSP) Engineer,
"Boulder, CO",TuSimple,AI Infrastructure Engineer – Full Stack,
"Denver, CO",CoreSite,"Data Analyst - Denver, CO",
"Fort Collins, CO",TuSimple,AI Infrastructure Engineer - Cloud Platform,
"Boulder, CO",Amazon.com Services LLC,Sr. Software Development Engineer - Just Walk Out Technology (Deep Learning),
"Boulder, CO 80301",Pfizer,Senior Statistical Programming Lead (Sr. Manager),
"Aurora, CO 80010 (Delmar Parkway area)",CACI,"Lead Data Engineer (Cloud, SQL, Java, Python, C/C++, Perl)",
"Santa Monica, CA 90404 (Mid-City area)",Hulu,Data Scientist,
"Los Angeles, CA",Talent Acquisition Québec,Data Scientist at IBM (Visa Sponsorship for Canada),
"Los Angeles, CA",Facebook,"Data Scientist, Product Analytics AR/VR",
"Los Angeles, CA",Aspiration Partners,Data Scientist,
"Irvine, CA 92617 (Research Park area)",West Coast University,Data Scientist,
"Culver City, CA",Ipsos North America,Data Scientist,
"Calabasas, CA 91302",Anchor Loans LP,Data Scientist,
"Irvine, CA 92617 (Research Park area)",American Career College,Data Scientist,
"Costa Mesa, CA 92626",Intelliloan,Data Science Assistant,
"Sherman Oaks, CA 91411","Icon Media Direct, Inc.",Sr. Data Scientist,
"Edwards AFB, CA",Jacobs,Data Scientist/Applied Mathematician,
"Los Angeles, CA 90079",Steady,Senior Data Analyst,
"San Diego, CA 92121 (Sorrento Valley area)",SiO Digital,Data Science Intern,
"Orange, CA",Gustaine,Data Scientist,
